Case_ID,Case_Name,RMSE_C,MAE_C,Max_Error_C,R2_Score,Twin_Time_s,FEM_Time_s,Speedup
1,Nominal LEO (CPU 15W),2.7304,2.5695,3.7337,96.604,0.00852,120.0,14087.3
2,High Load (CPU 30W),3.9576,3.6597,5.2267,93.697,0.00821,120.0,14622.2
3,Deep Eclipse (CPU 10W),1.8296,1.7947,2.1064,97.777,0.00672,120.0,17867.2
4,"Hot Case (High Solar, CPU 25W)",3.5338,3.2836,4.715,94.659,0.00853,120.0,14072.3
5,"Cold Case (Eclipse, CPU 5W)",1.4415,1.4051,1.9327,98.951,0.00703,120.0,17077.2
6,Small Radiator (0.05 m2),2.6301,2.5014,3.7938,97.738,0.0078,120.0,15389.0
7,Large Radiator (0.30 m2),2.8497,2.5734,4.1042,97.259,0.00876,120.0,13703.9
8,Low Emissivity (eps=0.3),2.6337,2.5041,3.75,97.675,0.00738,120.0,16262.1
9,High Emissivity (eps=0.95),2.7407,2.5665,3.7335,96.628,0.00842,120.0,14249.4
10,Transient Power Step (5-30W),3.9565,3.6536,5.2158,93.843,0.00811,120.0,14803.3
